,Train_R2,Train_MAE,Train_MSE,Val_R2,Val_MAE,Val_MSE,Test_R2,Test_MAE,Test_MSE
Ridge_Initial,0.3116722224686317,6.977888899548879,83.47892068763103,0.3057612974153491,6.998431791370094,84.50505162648525,0.3109945634078447,7.027555958397299,84.76856149561065
Ridge_Optimized,0.3137458144259286,6.95695412489184,83.22743988997601,0.3077072374764962,6.976582963854109,84.2686779512647,0.3133946037722773,7.005672589701994,84.47328375407263
RF_Initial,0.9084,2.5256,11.1093,0.3404,6.8179,80.2848,0.3477,6.8285,80.2516
RF_Tuned,0.3796,6.612,75.2452,0.3457,6.7722,79.6481,0.3526,6.785,79.6555
RF_CV_Final,,,,,,,0.3526,6.785,79.6555
RF_Initial_with_grp,0.9074,2.5412,11.2257,0.3341,6.8535,81.0523,0.3401,6.8785,81.1934
RF_with_grp_Tuned,0.3782,6.6208,75.4154,0.3447,6.7796,79.7673,0.3514,6.7925,79.8008
RF_with_grp_CV_Final,,,,,,,0.3514,6.7925,79.8008
SVR_linear,0.3075,6.9205,83.988,0.3001,6.9461,85.1907,0.3071,6.9707,85.2431
SVR_poly,0.2679,7.1516,88.7907,0.2478,7.2135,91.555,0.2648,7.2162,90.4523
SVR_rbf,0.3696,6.5594,76.4491,0.3559,6.6434,78.4056,0.3643,6.6377,78.2113
XGBoost,0.41677569869261,6.392497314501472,70.73219588282544,0.3565271349183773,6.698221537699614,78.32612237673062,0.3667541409334598,6.691355247121934,77.90844265558002
XGBoost_Tuned,0.389866584931984,6.5325922184249405,73.99567564744292,0.3640461160783043,6.6595802006283344,77.41088154772369,0.3729732123794792,6.660094991133388,77.14330828606771
MLP,0.3759725531116664,6.589546408064874,75.68071411054179,0.3610256942289015,6.66248036795579,77.77853952406377,0.3700866412833125,6.6543811394452925,77.49844406073898
MLP_Tuned,0.3738102764930737,6.599860732276646,75.9429503942431,0.3593753888295569,6.666548063621126,77.97942137889015,0.3687873255918726,6.658709779444668,77.65829929009216
DNN,0.3730760990821506,6.619781948915326,76.0319898604069,0.3611548219258521,6.676685823962578,77.76282157798954,0.3683434449492512,6.679184170832672,77.71291006898073
DNN_Highly_Optimized,0.3619396077138691,6.682277720712042,77.69359696981329,0.3627306874619859,6.690563156464252,77.81472094716509,0.357888881699495,6.672489591561475,77.27879994815144
CatBoost_Initial,0.4283946779744748,6.315925425718492,69.56716767915947,0.3975205305915504,6.46411722883623,73.26556672555712,0.401540057483954,6.438195383760315,72.32359730113869
CatBoost_Initial (same old model scale and missing null value),0.395174499004425,6.502813856074716,73.35194318111822,0.3662134003096619,6.645675391561962,77.14707093636412,0.3756195827825117,6.6402396323211565,76.8177244802865
CatBoost_Optimized,0.4329982721121731,6.297126078181935,69.0068877220569,0.3958136438624278,6.473543229103276,73.47313566341369,0.3998729789314165,6.44635604045795,72.5250629454326
SVR_RBF_Robust,0.36726400817321114,6.586275325418445,76.85923222646399,0.3609267451621676,6.605845150862718,77.24653178036067,0.3600901768885705,6.643834385555928,78.51781420142915
